"","parent","node","branch.length","label"
"172",238,172,1.57889,"Trachypithecus_cristatus"
"173",242,173,1.757449,"Trachypithecus_delacouri"
"174",243,174,0.630624,"Trachypithecus_francoisi"
"175",235,175,0.435719,"Trachypithecus_geei"
"176",239,176,1.269645,"Trachypithecus_germaini"
"177",233,177,3.654042,"Trachypithecus_johnii"
"178",241,178,2.26679,"Trachypithecus_laotum"
"179",237,179,4.015007,"Trachypithecus_obscurus"
"180",240,180,4.023264,"Trachypithecus_phayrei"
"181",235,181,0.435719,"Trachypithecus_pileatus"
"182",243,182,0.630624,"Trachypithecus_poliocephalus"
"183",234,183,3.493766,"Trachypithecus_vetulus"
"184",380,184,10.525807,"Euoticus_elegantulus"
"185",378,185,17.131185,"Galagoides_demidoff"
"186",380,186,10.525806,"Galagoides_zanzibaricus"
"187",381,187,0.833949,"Otolemur_crassicaudatus"
"188",381,188,0.833949,"Otolemur_garnettii"
"189",296,189,16.314276,"Tarsius_bancanus"
"190",297,190,2.297364,"Tarsius_dentatus"
"191",297,191,2.297364,"Tarsius_lariang"
"192",296,192,16.314276,"Tarsius_syrichta"
"193",193,193,NA,NA
"194",193,194,4.162986,NA
"195",194,195,22.028211,NA
"196",195,196,16.811821,NA
"197",196,197,8.589626,NA
"198",197,198,6.535196,NA
"199",198,199,2.980276,NA
"200",199,200,0.401789,NA
"201",200,201,1.644988,NA
"202",201,202,1.957908,NA
"203",202,203,5.871275,NA
"204",202,204,0.54706,NA
"205",201,205,1.220881,NA
"206",205,206,0.687445,NA
"207",206,207,3.85615,NA
"208",207,208,1.323667,NA
"209",205,209,5.058886,NA
"210",209,210,1.687586,NA
"211",210,211,0.263192,NA
"212",210,212,0.948296,NA
"213",198,213,2.022653,NA
"214",213,214,1.502062,NA
"215",214,215,6.046166,NA
"216",215,216,1.889093,NA
"217",214,217,5.5813,NA
"218",217,218,0.872302,NA
"219",217,219,1.852611,NA
"220",197,220,5.975217,NA
"221",220,221,2.897705,NA
"222",221,222,1.890002,NA
"223",220,223,2.127056,NA
"224",223,224,0.523455,NA
"225",224,225,2.310063,NA
"226",225,226,0.839771,NA
"227",226,227,9.266511,NA
"228",225,228,6.687932,NA
"229",228,229,0.809994,NA
"230",229,230,1.026562,NA
"231",224,231,1.32327,NA
"232",231,232,6.787895,NA
"233",232,233,1.01944,NA
"234",232,234,1.179716,NA
"235",234,235,3.058047,NA
"236",231,236,6.208391,NA
"237",236,237,1.23798,NA
"238",237,238,2.436117,NA
"239",238,239,0.309244,NA
"240",236,240,1.229723,NA
"241",240,241,1.756474,NA
"242",241,242,0.509341,NA
"243",242,243,1.126825,NA
"244",223,244,7.529891,NA
"245",196,245,10.394055,NA
"246",245,246,11.36475,NA
"247",246,247,0.893297,NA
"248",247,248,0.749537,NA
"249",247,249,4.303015,NA
"250",249,250,1.032238,NA
"251",250,251,1.068192,NA
"252",251,252,0.431463,NA
"253",245,253,4.473491,NA
"254",253,254,6.480222,NA
"255",254,255,6.318679,NA
"256",195,256,24.079043,NA
"257",256,257,1.411478,NA
"258",257,258,6.56106,NA
"259",258,259,5.612849,NA
"260",259,260,6.793621,NA
"261",257,261,1.228773,NA
"262",261,262,0.605006,NA
"263",262,263,3.775269,NA
"264",263,264,0.682187,NA
"265",264,265,1.797437,NA
"266",265,266,6.203497,NA
"267",266,267,2.239318,NA
"268",267,268,3.057892,NA
"269",268,269,0.789455,NA
"270",268,270,1.023412,NA
"271",266,271,2.909188,NA
"272",271,272,2.721219,NA
"273",272,273,0.517925,NA
"274",273,274,0.210443,NA
"275",264,275,13.576075,NA
"276",275,276,0.835619,NA
"277",263,277,3.986111,NA
"278",277,278,2.06267,NA
"279",278,279,1.302045,NA
"280",279,280,4.119345,NA
"281",280,281,2.257526,NA
"282",279,282,1.051431,NA
"283",282,283,6.129362,NA
"284",278,284,4.650925,NA
"285",277,285,6.32707,NA
"286",285,286,4.934246,NA
"287",261,287,1.522623,NA
"288",256,288,3.336691,NA
"289",288,289,9.753209,NA
"290",289,290,7.368851,NA
"291",288,291,8.915568,NA
"292",291,292,3.120446,NA
"293",292,293,3.447072,NA
"294",293,294,1.687744,NA
"295",194,295,44.542381,NA
"296",295,296,7.983376,NA
"297",295,297,22.000288,NA
"298",193,298,10.266465,NA
"299",298,299,11.612487,NA
"300",299,300,17.859349,NA
"301",300,301,2.318811,NA
"302",301,302,2.51681,NA
"303",302,303,5.865706,NA
"304",303,304,5.779948,NA
"305",304,305,2.512318,NA
"306",305,306,8.288097,NA
"307",306,307,0.802873,NA
"308",307,308,1.117659,NA
"309",308,309,0.977687,NA
"310",306,310,1.017643,NA
"311",310,311,0.276907,NA
"312",311,312,0.272524,NA
"313",312,313,0.224811,NA
"314",313,314,0.885716,NA
"315",314,315,0.983305,NA
"316",315,316,1.626379,NA
"317",311,317,0.680282,NA
"318",317,318,1.812635,NA
"319",310,319,1.896625,NA
"320",305,320,14.142156,NA
"321",303,321,11.17525,NA
"322",321,322,3.732059,NA
"323",302,323,2.740071,NA
"324",323,324,12.339671,NA
"325",324,325,5.073249,NA
"326",325,326,1.592368,NA
"327",326,327,2.276047,NA
"328",327,328,0.600221,NA
"329",328,329,1.179265,NA
"330",327,330,2.23065,NA
"331",325,331,1.662546,NA
"332",331,332,1.687395,NA
"333",332,333,2.434019,NA
"334",333,334,0.401,NA
"335",331,335,2.027277,NA
"336",335,336,2.922031,NA
"337",324,337,12.983264,NA
"338",323,338,25.64783,NA
"339",301,339,10.036873,NA
"340",339,340,4.406432,NA
"341",340,341,10.24982,NA
"342",341,342,4.831486,NA
"343",342,343,0.19903,NA
"344",340,344,9.947046,NA
