"","group","allocentric","egocentric","prop_ego","prop_allo"
"1","great apes",93,17,0.154545454545455,0.845454545454545
"2","gibbons",2,1,0.333333333333333,0.666666666666667
"3","old world monkeys",37,8,0.177777777777778,0.822222222222222
"4","new world monkeys",26,6,0.1875,0.8125
"5","non-primate mammals",10,11,0.523809523809524,0.476190476190476
"6","birds",52,11,0.174603174603175,0.825396825396825
"7","invertebrates",7,1,0.125,0.875
